k,kernel,score
40,uniform,0.8352434273447892
41,uniform,0.8340981323352715
42,uniform,0.8329368882590376
43,uniform,0.8316795714625271
44,uniform,0.8306925129010985
45,uniform,0.8298439646815732
46,uniform,0.8289616268213107
47,uniform,0.8287330964012387
48,uniform,0.8277840181969143
49,uniform,0.827130044141234
50,uniform,0.8265786159150158
51,uniform,0.8259552022012602
52,uniform,0.8254658329434248
53,uniform,0.8249686502680639
54,uniform,0.8243620599566487
55,uniform,0.8238229382081519
56,uniform,0.8233936989370978
57,uniform,0.8227904704369222
58,uniform,0.8220858126468154
59,uniform,0.821698745806625
60,uniform,0.8212323447967904
61,uniform,0.8205838057929685
62,uniform,0.8203535423861508
63,uniform,0.8199214567519857
64,uniform,0.81969351407887
65,uniform,0.8192254782638813
66,uniform,0.8191285543499927
67,uniform,0.819179788110684
68,uniform,0.8190340466402947
69,uniform,0.8188262782541709
70,uniform,0.8187695547944059
71,uniform,0.8186874353203637
72,uniform,0.8186002995271396
73,uniform,0.8185888662121712
74,uniform,0.8186598001358256
75,uniform,0.8185907744447262
76,uniform,0.818165667644341
77,uniform,0.8177140054708207
78,uniform,0.8174513418922535
79,uniform,0.8171939816743975
80,uniform,0.8168719063008061
81,uniform,0.8166297957265802
82,uniform,0.8162709074540604
83,uniform,0.8160439251739577
84,uniform,0.8157640022705361
85,uniform,0.8154080069037977
86,uniform,0.8152179631950061
87,uniform,0.8149409291383127
88,uniform,0.8147451425316015
89,uniform,0.8146201156892097
90,uniform,0.8145134865038102
91,uniform,0.8144736773423679
92,uniform,0.8143392410459868
93,uniform,0.8141671522672503
94,uniform,0.8140030275915723
95,uniform,0.8138562456237741
96,uniform,0.8136971995300627
97,uniform,0.8131923326502033
98,uniform,0.8132162594405934
99,uniform,0.8131296751107828
